SubContinent,CostOfLiving,LocalPurchasingPower,Basics
Western Europe,80.83333333333333,124.81833333333333,196.03354166666665
Northern Europe,75.44065573770486,109.09934426229506,169.27295081967213
Western Asia,55.4386956521739,76.68347826086959,106.94
Western Africa,50.325,24.59,80.71000000000001
Eastern Africa,43.702857142857134,43.30714285714286,66.14857142857143
Australia and New Zealand,80.54055555555554,121.05944444444442,146.07000000000005
Southern Asia,26.32486486486487,69.57108108108108,37.56108108108109
Southern Europe,68.45365384615383,81.89057692307694,165.5726923076923
Northern Africa,35.49400000000001,41.751999999999995,38.784
Central Asia,33.845,37.745,54.3075
Southeast Europe,38.9648,52.8084,126.55400000000002
South America,47.290833333333346,47.635416666666664,72.51666666666667
South-Eastern Asia,44.1612,46.135200000000005,71.572
North America,64.11394736842105,108.77631578947371,123.7728947368421
Eastern Asia,60.68230769230768,85.07538461538462,94.97923076923077
Central Europe,45.48500000000001,77.81416666666667,172.14791666666665
Southern Africa,40.52875,84.2225,74.33125
Eastern Europe,30.353076923076927,39.46846153846153,71.43153846153847
Central America,52.475,42.46,72.515
Caribbean,70.96499999999999,48.545,161.67249999999999
Middle Africa,136.66,24.93,267.39
